"libido","quando","note"
"4","7/13/25 16:38:30",""
"3","7/13/25 13:47:40",""
"3","7/13/25 12:16:35",""
"1","7/13/25 06:01:53",""
"2","7/12/25 23:36:58",""
"1","7/11/25 17:28:57",""
"4","7/7/25 09:10:05",""
"1","7/7/25 04:16:33",""
"2","7/7/25 00:14:25",""
"2","7/6/25 19:59:17",""
"2","7/6/25 17:04:08",""
"1","7/3/25 19:23:15",""
"1","6/29/25 21:51:54",""
"1","6/29/25 08:15:42",""
"3","6/29/25 02:43:27",""
"1","6/29/25 00:14:19",""
"3","6/26/25 17:53:05",""
"1","6/26/25 14:30:22",""
"1","6/26/25 09:00:24",""
"1","6/26/25 07:16:05",""
"2","6/15/25 00:02:54",""
"0","6/14/25 23:50:39",""
"1","6/14/25 22:41:08",""
"1","6/14/25 21:12:21",""
"1","6/14/25 19:04:56",""
"1","6/12/25 01:00:46",""
"2","1/6/25 02:46:06",""
"1","1/5/25 20:16:32",""
"1","1/3/25 19:33:35",""
"5","1/3/25 12:53:51",""
"1","1/2/25 08:21:09",""
"1","12/30/24 22:50:29",""
"2","12/28/24 20:52:36",""
"1","12/28/24 12:55:33",""
"0","12/28/24 12:55:30",""
"2","12/28/24 11:26:20",""
"3","12/28/24 05:15:07",""
"1","12/25/24 18:20:47",""
"1","12/24/24 11:54:53",""
"1","12/23/24 17:28:30",""
"2","12/23/24 15:22:40",""
"2","12/23/24 15:14:02",""
"2","12/23/24 14:40:09",""
"3","12/23/24 04:54:23",""
"5","12/22/24 11:36:33",""
"3","12/22/24 04:27:37",""
"2","12/22/24 00:37:09",""
"1","12/21/24 19:46:57",""
"1","12/21/24 14:51:02",""
"1","12/18/24 19:50:38",""
"0","12/18/24 19:50:36",""
"2","12/18/24 16:52:28",""
"3","12/18/24 16:07:12",""
"1","12/18/24 08:22:32",""
"1","12/17/24 20:45:35",""
"5","12/17/24 04:18:01",""
"0","12/12/24 14:11:19",""
"1","12/12/24 14:10:43",""
"2","12/11/24 14:54:22",""
"1","12/11/24 12:36:56",""
"2","11/23/24 13:00:21",""
"2","11/21/24 09:50:47",""
"5","11/21/24 05:53:48",""
"2","11/21/24 02:19:27",""
"1","11/12/24 19:52:07",""
"1","11/12/24 15:32:15",""
"1","11/9/24 12:34:49",""
"1","11/8/24 15:11:37",""
"1","11/8/24 11:54:02",""
"1","11/8/24 08:53:39",""
"1","11/8/24 05:15:41",""
"1","11/8/24 02:48:48",""
"1","11/7/24 23:18:57",""
"1","11/7/24 20:12:54",""
"1","11/7/24 14:01:28",""
"0","11/7/24 14:01:27",""
"1","11/7/24 13:02:22",""
"0","11/7/24 13:02:21",""
"2","11/7/24 10:30:04",""
"5","11/7/24 09:18:35",""
"1","11/6/24 22:11:02",""
"1","11/6/24 19:14:32",""
"5","11/6/24 18:44:17",""
"1","11/4/24 16:32:26",""
"1","11/4/24 05:01:36",""
"1","11/3/24 19:49:07",""
"1","11/3/24 14:51:25",""
"1","11/3/24 11:09:13",""
"1","11/3/24 06:53:59",""
"1","11/3/24 01:19:12",""
"1","11/2/24 15:44:04",""
"1","11/2/24 11:31:48",""
"3","11/2/24 04:00:55",""
"1","10/30/24 18:17:55",""
"1","10/30/24 13:35:00",""
"1","10/30/24 11:19:14",""
"1","10/28/24 14:21:04",""
"1","10/27/24 12:20:10",""
"1","10/27/24 11:02:09",""
"0","10/27/24 11:02:07",""
"1","10/27/24 09:24:16",""
"0","10/27/24 09:24:14",""
"1","10/26/24 20:00:24",""
"1","10/26/24 18:40:34",""
"1","10/24/24 19:29:45",""
"1","10/24/24 16:05:06",""
"1","10/24/24 12:57:30",""
"1","10/24/24 11:04:48",""
"1","10/24/24 10:25:58",""
"1","10/21/24 18:03:17",""
"1","10/21/24 17:24:54",""
"1","10/21/24 16:36:26",""
"1","10/21/24 14:05:58",""
"1","10/21/24 12:52:03",""
"1","10/21/24 11:05:42",""
"1","10/21/24 10:49:06",""
"1","10/21/24 10:29:09",""
"1","10/21/24 08:31:17",""
"1","10/21/24 01:50:09",""
"2","10/20/24 18:23:45",""
"4","10/20/24 10:57:59",""
"3","10/20/24 03:13:27",""
"1","10/20/24 02:39:08",""
"3","10/19/24 23:06:57",""
"3","10/19/24 20:06:28",""
"4","10/19/24 14:35:38",""
"1","10/19/24 06:59:48",""
"1","10/18/24 14:54:40",""
"1","10/14/24 20:31:08",""
"1","10/12/24 00:06:41",""
"4","10/11/24 18:32:54",""
"1","10/11/24 08:42:21",""
"4","10/7/24 17:03:23",""
"2","10/7/24 16:31:43",""
"1","10/5/24 15:57:05",""
"2","10/5/24 15:00:45",""
"3","10/5/24 14:22:28",""
"4","10/5/24 09:35:03",""
"2","10/4/24 18:59:28",""
"3","10/4/24 13:13:30",""
"2","9/30/24 22:06:05",""
"3","9/30/24 16:03:12",""
"5","9/26/24 15:46:52",""
"4","9/26/24 15:10:24",""
"2","9/26/24 13:20:55",""
"1","9/24/24 14:13:33",""
"1","9/24/24 03:47:27",""
"1","9/21/24 13:02:09",""
"1","9/19/24 23:17:16",""
"2","9/17/24 20:44:02",""
"2","9/17/24 15:12:32",""
"1","9/15/24 17:36:01",""
"1","9/15/24 15:30:53",""
"1","9/15/24 14:51:26",""
"1","9/15/24 14:20:48",""
"1","9/15/24 03:00:44",""
"0","9/15/24 03:00:42",""
"1","9/14/24 14:16:38",""
"2","9/13/24 15:19:13",""
"1","9/13/24 02:40:44",""
"4","9/12/24 18:36:24",""
"1","9/7/24 18:56:10",""
"2","9/7/24 17:50:05",""
"1","9/7/24 08:51:09",""
"1","9/7/24 05:52:45",""
"1","9/2/24 16:00:12",""
"1","8/31/24 15:55:39",""
"1","8/31/24 06:53:10",""
"1","8/31/24 03:37:42",""
"2","8/30/24 22:11:26",""
"1","8/29/24 17:12:18",""
"1","8/29/24 14:27:24",""
"5","8/29/24 12:06:07",""
"5","8/29/24 08:51:36",""
"5","8/29/24 07:12:44",""
"5","8/29/24 01:22:20",""
"5","8/28/24 23:17:57",""
"1","8/26/24 17:03:50",""
"1","8/26/24 13:57:22",""
"1","8/26/24 12:40:51",""
"1","8/26/24 04:35:30",""
"0","8/26/24 04:35:29",""
"5","8/26/24 03:16:02",""
"4","8/25/24 16:37:30",""
"1","8/22/24 22:04:15",""
"2","8/22/24 17:43:37",""
"1","8/22/24 11:58:40",""
"1","8/22/24 09:44:23",""
"1","8/19/24 16:08:33",""
"2","8/19/24 15:40:23",""
"1","8/17/24 22:58:29",""
"1","8/17/24 03:11:42",""
"3","8/16/24 21:56:16",""
"2","8/16/24 21:13:50",""
"1","8/16/24 20:12:41",""
"1","8/16/24 19:05:33",""
"1","8/16/24 09:56:25",""
"0","8/16/24 09:56:23",""
"1","8/15/24 18:25:53",""
"1","8/15/24 16:03:44",""
"1","8/15/24 13:21:05",""
"1","8/15/24 10:06:56",""
"1","8/15/24 09:01:47",""
"5","8/15/24 05:18:33",""
"5","8/15/24 01:25:30",""
"3","8/14/24 18:17:36",""
"1","8/14/24 10:49:36",""
"1","8/14/24 07:38:38",""
"1","8/14/24 04:44:43",""
"4","8/14/24 00:04:35",""
"3","8/13/24 22:06:29",""
"1","8/11/24 01:36:45",""
"1","8/11/24 00:07:09",""
"1","8/10/24 22:07:19",""
"1","8/10/24 21:41:24",""
"1","8/10/24 20:54:35",""
"1","8/10/24 18:55:32",""
"2","8/10/24 18:44:04",""
"1","8/10/24 16:28:58",""
"2","8/10/24 14:31:36",""
"1","8/7/24 14:49:24",""
"1","8/5/24 20:32:58",""
"4","8/5/24 19:27:16",""
"5","8/5/24 16:50:19",""
"5","8/5/24 12:35:47",""
"5","8/5/24 10:14:15",""
"1","8/5/24 08:13:01",""
"2","8/5/24 08:07:58",""
"4","8/5/24 07:19:12",""
"5","8/5/24 05:35:28",""
"5","8/5/24 04:03:50",""
"5","8/4/24 23:26:45",""
"3","8/4/24 21:48:17",""
"1","8/4/24 18:23:15",""
"2","8/2/24 14:16:01",""
"5","8/2/24 13:28:50",""
"4","8/2/24 08:53:40",""
"1","8/2/24 08:00:53",""
"1","8/2/24 05:33:52",""
"5","8/2/24 01:37:59",""
"3","8/1/24 23:42:47",""
"4","8/1/24 21:36:25",""
"2","8/1/24 21:14:02",""
"1","8/1/24 20:12:07",""
"2","8/1/24 19:11:20",""
"3","8/1/24 18:54:41",""
"1","8/1/24 03:23:11",""
"1","8/1/24 00:39:04",""
"1","7/31/24 23:45:22",""
"1","7/31/24 17:54:55",""
"1","7/31/24 12:35:14",""
"1","7/31/24 12:10:38",""
"1","7/31/24 08:27:57",""
"2","7/31/24 07:52:40",""
"1","7/31/24 07:31:06",""
"2","7/31/24 06:09:13",""
"2","7/31/24 04:52:49",""
"2","7/31/24 03:10:16",""
"2","7/31/24 02:34:18",""
"5","7/30/24 22:17:17",""
"4","7/30/24 20:48:40",""
"1","7/30/24 19:34:57",""
"1","7/30/24 18:06:01",""
"1","7/30/24 16:28:24",""
"1","7/30/24 14:14:02",""
"1","7/30/24 11:02:00",""
"1","7/30/24 10:17:59",""
"1","7/30/24 07:32:59",""
"1","7/30/24 06:30:25",""
"2","7/30/24 04:54:44",""
"1","7/30/24 01:23:44",""
"1","7/30/24 00:43:37",""
"1","7/29/24 23:01:54",""
"1","7/29/24 21:42:37",""
"1","7/27/24 17:16:40",""
"1","7/27/24 14:20:47",""
"1","7/27/24 10:57:51",""
"2","7/27/24 08:09:51",""
"1","7/27/24 06:44:56",""
"5","7/27/24 06:18:25",""
"4","7/27/24 02:47:10",""
"3","7/26/24 22:11:51",""
"5","7/26/24 21:42:04",""
"4","7/26/24 20:26:58",""
"5","7/26/24 20:10:16",""
"1","7/23/24 17:55:15",""
"1","7/23/24 16:09:55",""
"1","7/23/24 11:41:28",""
"0","7/23/24 11:41:26",""
"1","7/23/24 10:23:00",""
"1","7/23/24 08:35:57",""
"1","7/23/24 07:15:52",""
"1","7/23/24 06:17:44",""
"1","7/23/24 04:53:28",""
"5","7/23/24 04:03:07",""
"1","7/23/24 02:42:16",""
"0","7/23/24 01:10:36",""
"1","7/23/24 00:14:47",""
"1","7/22/24 23:04:52",""
"1","7/22/24 21:19:00",""
"1","7/22/24 20:34:38",""
"1","7/22/24 19:14:05",""
"1","7/22/24 17:18:54",""
"1","7/22/24 16:32:22",""
"1","7/22/24 14:43:07",""
"1","7/22/24 14:04:25",""
"1","7/22/24 11:54:56",""
"1","7/22/24 10:38:59",""
"1","7/19/24 20:48:20",""
"0","7/19/24 20:48:18",""
"1","7/19/24 18:28:30",""
"1","7/19/24 16:06:24",""
"1","7/19/24 12:45:13",""
"1","7/19/24 09:23:08",""
"1","7/19/24 09:03:05",""
"1","7/19/24 08:52:58",""
"1","7/19/24 08:14:25",""
"1","7/19/24 06:56:53",""
"1","7/16/24 20:52:45",""
"1","7/16/24 19:42:56",""
"1","7/16/24 18:04:36",""
"1","7/16/24 18:00:10",""
"1","7/16/24 16:32:05",""
"1","7/16/24 16:09:06",""
"1","7/14/24 14:07:22",""
"1","7/14/24 09:40:25",""
"2","7/12/24 15:55:15",""
"1","7/11/24 18:43:13",""
"1","7/11/24 17:11:55",""
"1","7/11/24 12:32:06",""
"2","7/11/24 12:11:42",""
"2","7/11/24 07:37:40",""
"5","7/11/24 07:03:35",""
"1","7/11/24 03:34:12",""
"1","7/11/24 00:19:45",""
"2","7/10/24 21:45:20",""
"5","7/10/24 20:31:41",""
"3","7/10/24 17:55:31",""
"4","7/10/24 16:08:21",""
"1","7/7/24 16:45:04",""
"1","7/7/24 12:11:38",""
"1","7/7/24 04:55:14",""
"1","7/5/24 16:39:01",""
"1","7/5/24 10:58:20",""
"1","7/5/24 09:07:46",""
"3","7/5/24 01:15:05",""
"5","7/4/24 21:57:56",""
"5","7/4/24 07:34:25",""
"4","7/4/24 06:08:13",""
"3","7/4/24 05:25:26",""
"2","7/4/24 02:43:06",""
"1","7/4/24 02:08:49",""
"1","7/4/24 01:45:09",""
"1","7/3/24 23:41:40",""
"1","6/29/24 19:01:23",""
"4","6/29/24 16:41:09",""
"2","6/29/24 16:32:36",""
"1","6/29/24 14:10:16","Post sborrata 1"
"5","6/29/24 12:58:16",""
"5","6/29/24 03:42:40",""
"1","6/29/24 02:24:41",""
"1","6/29/24 01:50:55",""
"2","6/28/24 17:55:23",""
"3","6/28/24 16:08:47",""
"3","6/25/24 18:16:38",""
"1","6/25/24 17:11:49",""
"1","6/25/24 14:35:20",""
"5","6/25/24 10:31:19",""
"1","6/25/24 07:03:49",""
"5","6/25/24 02:09:55",""
"5","6/24/24 23:33:06",""
"5","6/24/24 19:54:07",""
"1","6/24/24 11:50:15",""
"1","6/21/24 14:45:50",""
"1","6/19/24 22:34:10",""
"1","6/18/24 17:56:24",""
"1","6/18/24 12:36:41",""
"1","6/18/24 10:54:35",""
"5","6/18/24 07:52:15",""
"1","6/18/24 05:46:14",""
"5","6/18/24 03:08:57",""
"2","6/18/24 01:49:37",""
"2","6/18/24 00:39:22",""
"2","6/17/24 23:33:50",""
"3","6/17/24 20:17:01",""
"1","6/16/24 21:15:18",""
"1","6/16/24 15:09:08",""
"1","6/13/24 17:37:09",""
"1","6/13/24 16:29:18",""
"1","6/13/24 13:41:45",""
"5","6/13/24 13:26:00",""
"1","6/13/24 11:09:08",""
"3","6/13/24 10:06:27",""
"5","6/13/24 05:44:21",""
"3","6/13/24 05:15:17",""
"5","6/13/24 03:51:53",""
"2","6/13/24 01:31:04",""
"3","6/13/24 00:30:29",""
"1","6/12/24 23:32:57",""
"1","6/12/24 21:31:55",""
"1","6/12/24 20:15:32",""
"2","6/12/24 19:23:30",""
"1","6/12/24 17:55:00",""
"1","6/10/24 18:23:15",""
"1","6/10/24 17:22:26",""
"1","6/10/24 13:32:47",""
"1","6/10/24 11:20:44",""
"1","6/10/24 10:27:09",""
"1","6/9/24 18:37:09",""
"4","6/9/24 18:19:14",""
"3","6/9/24 17:59:36",""
"1","6/9/24 17:21:41",""
"1","6/9/24 15:16:28",""
"1","6/9/24 10:28:37",""
"1","6/9/24 09:35:11",""
"1","6/9/24 05:13:42",""
"5","6/9/24 02:29:40",""
"1","6/8/24 20:10:32",""
"1","6/8/24 19:41:23",""
"1","6/8/24 18:37:35",""
