"quando","dildo","droghe"
"11/20/24 21:19:11","true","false"
"11/7/24 11:28:56","true","false"
"11/7/24 09:31:16","true","false"
"11/4/24 08:02:33","false","false"
"11/4/24 04:37:46","false","false"
"10/20/24 19:44:20","true","false"
"10/19/24 06:48:47","true","false"
"10/12/24 01:07:20","true","false"
"10/11/24 22:02:17","true","false"
"10/7/24 19:51:02","true","false"
"10/5/24 17:00:34","true","false"
"9/30/24 23:06:51","true","false"
"9/30/24 18:19:29","true","false"
"9/27/24 00:37:09","false","false"
"9/24/24 16:17:30","false","false"
"9/18/24 03:55:20","false","false"
"9/13/24 23:58:13","false","false"
"9/13/24 16:14:58","true","false"
"9/7/24 18:56:05","true","false"
"9/7/24 13:30:02","true","false"
"8/29/24 14:21:29","true","false"
"8/26/24 04:30:04","true","false"
"8/22/24 20:18:35","false","false"
"8/19/24 16:08:10","false","false"
"8/15/24 15:00:12","false","false"
"8/5/24 20:27:44","true","false"
"8/2/24 08:56:35","true","false"
"8/2/24 04:06:05","true","false"
